2026-07-01 14:39:10 [INFO] START | dry_run=False resume=False filter=None
2026-07-01 14:39:10 [INFO] [0] Memeriksa koneksi database
2026-07-01 14:39:10 [INFO] Terhubung ke 'fkp_db' @ localhost:5432
2026-07-01 14:39:10 [INFO] Semua tabel ditemukan: provinsi, kabupaten_kota, kecamatan, kelurahan
2026-07-01 14:39:10 [INFO] [0b] Memeriksa koneksi API
2026-07-01 14:39:13 [INFO] API OK — 38 provinsi tersedia
2026-07-01 14:39:13 [INFO] [1] Membuka koneksi PostgreSQL
2026-07-01 14:39:13 [INFO] Koneksi berhasil
2026-07-01 14:39:13 [INFO] [2] Membersihkan tabel
2026-07-01 14:39:13 [INFO] Semua tabel dikosongkan
2026-07-01 14:40:45 [INFO]     KEC [110807] Meurah Mulia
2026-07-01 14:40:46 [INFO]       50 kelurahan di Meurah Mulia
2026-07-01 14:40:46 [INFO]     KEC [110808] Samudera
2026-07-01 14:40:46 [INFO]       40 kelurahan di Samudera
2026-07-01 14:40:46 [INFO]     KEC [110809] Seunuddon
2026-07-01 14:40:47 [INFO]       33 kelurahan di Seunuddon
2026-07-01 14:40:47 [INFO]     KEC [110810] Syamtalira Aron
2026-07-01 14:40:47 [INFO]       34 kelurahan di Syamtalira Aron
2026-07-01 14:40:47 [INFO]     KEC [110811] Syamtalira Bayu
2026-07-01 14:40:48 [INFO]       38 kelurahan di Syamtalira Bayu
2026-07-01 14:40:48 [INFO]     KEC [110812] Tanah Luas
2026-07-01 14:40:48 [INFO]       57 kelurahan di Tanah Luas
2026-07-01 14:40:48 [INFO]     KEC [110813] Tanah Pasir
2026-07-01 14:40:49 [INFO]       18 kelurahan di Tanah Pasir
2026-07-01 14:40:49 [INFO]     KEC [110814] Tanah Jambo Aye
2026-07-01 14:40:50 [INFO]       47 kelurahan di Tanah Jambo Aye
2026-07-01 14:40:50 [INFO]     KEC [110815] Sawang
2026-07-01 14:40:50 [INFO]       39 kelurahan di Sawang
2026-07-01 14:40:50 [INFO]     KEC [110816] Nisam
2026-07-01 14:40:51 [INFO]       29 kelurahan di Nisam
2026-07-01 14:40:51 [INFO]     KEC [110817] Cot Girek
2026-07-01 14:40:51 [INFO]       24 kelurahan di Cot Girek
2026-07-01 14:40:51 [INFO]     KEC [110818] Langkahan
2026-07-01 14:40:52 [INFO]       23 kelurahan di Langkahan
2026-07-01 14:40:52 [INFO]     KEC [110819] Baktiya Barat
2026-07-01 14:40:52 [INFO]       26 kelurahan di Baktiya Barat
2026-07-01 14:40:52 [INFO]     KEC [110820] Paya Bakong
2026-07-01 14:40:53 [INFO]       39 kelurahan di Paya Bakong
2026-07-01 14:40:53 [INFO]     KEC [110821] Nibong
2026-07-01 14:40:54 [INFO]       20 kelurahan di Nibong
2026-07-01 14:40:54 [INFO]     KEC [110822] Simpang Keuramat
2026-07-01 14:40:54 [INFO]       16 kelurahan di Simpang Keuramat
2026-07-01 14:40:54 [INFO]     KEC [110823] Lapang
2026-07-01 14:40:55 [INFO]       11 kelurahan di Lapang
2026-07-01 14:40:55 [INFO]     KEC [110824] Pirak Timu
2026-07-01 14:40:55 [INFO]       23 kelurahan di Pirak Timu
2026-07-01 14:40:55 [INFO]     KEC [110825] Geureudong Pase
2026-07-01 14:40:56 [INFO]       11 kelurahan di Geureudong Pase
2026-07-01 14:40:56 [INFO]     KEC [110826] Banda Baro
2026-07-01 14:40:56 [INFO]       9 kelurahan di Banda Baro
2026-07-01 14:40:56 [INFO]     KEC [110827] Nisam Antara
2026-07-01 14:40:57 [INFO]       6 kelurahan di Nisam Antara
2026-07-01 14:40:57 [INFO]   KAB [1109] Kabupaten Simeulue
2026-07-01 14:40:58 [INFO]     KEC [110901] Simeulue Tengah
2026-07-01 14:40:58 [INFO]       16 kelurahan di Simeulue Tengah
2026-07-01 14:40:58 [INFO]     KEC [110902] Salang
2026-07-01 14:40:59 [INFO]       16 kelurahan di Salang
2026-07-01 14:40:59 [INFO]     KEC [110903] Teupah Barat
2026-07-01 14:40:59 [INFO]       18 kelurahan di Teupah Barat
2026-07-01 14:40:59 [INFO]     KEC [110904] Simeulue Timur
2026-07-01 14:41:00 [INFO]       17 kelurahan di Simeulue Timur
2026-07-01 14:41:00 [INFO]     KEC [110905] Teluk Dalam
2026-07-01 14:41:00 [INFO]       10 kelurahan di Teluk Dalam
2026-07-01 14:41:00 [INFO]     KEC [110906] Simeulue Barat
2026-07-01 14:41:01 [INFO]       14 kelurahan di Simeulue Barat
2026-07-01 14:41:01 [INFO]     KEC [110907] Teupah Selatan
2026-07-01 14:41:01 [INFO]       19 kelurahan di Teupah Selatan
2026-07-01 14:41:02 [INFO]     KEC [110908] Alafan
2026-07-01 14:41:02 [INFO]       8 kelurahan di Alafan
2026-07-01 14:41:02 [INFO]     KEC [110909] Teupah Tengah
2026-07-01 14:41:03 [INFO]       12 kelurahan di Teupah Tengah
2026-07-01 14:41:03 [INFO]     KEC [110910] Simeulue Cut
2026-07-01 14:41:03 [INFO]       8 kelurahan di Simeulue Cut
2026-07-01 14:41:03 [INFO]   KAB [1110] Kabupaten Aceh Singkil
2026-07-01 14:41:04 [INFO]     KEC [111001] Pulau Banyak
2026-07-01 14:41:04 [INFO]       3 kelurahan di Pulau Banyak
2026-07-01 14:41:04 [INFO]     KEC [111002] Simpang Kanan
2026-07-01 14:41:05 [INFO]       25 kelurahan di Simpang Kanan
2026-07-01 14:41:05 [INFO]     KEC [111004] Singkil
2026-07-01 14:41:05 [INFO]       16 kelurahan di Singkil
2026-07-01 14:41:05 [INFO]     KEC [111006] Gunung Meriah
2026-07-01 14:41:06 [INFO]       25 kelurahan di Gunung Meriah
2026-07-01 14:41:06 [INFO]     KEC [111009] Kota Baharu
2026-07-01 14:41:07 [INFO]       9 kelurahan di Kota Baharu
2026-07-01 14:41:07 [INFO]     KEC [111010] Singkil Utara
2026-07-01 14:41:07 [INFO]       7 kelurahan di Singkil Utara
2026-07-01 14:41:07 [INFO]     KEC [111011] Danau Paris
2026-07-01 14:41:08 [INFO]       6 kelurahan di Danau Paris
2026-07-01 14:41:08 [INFO]     KEC [111012] Suro Makmur
2026-07-01 14:41:08 [INFO]       11 kelurahan di Suro Makmur
2026-07-01 14:41:08 [INFO]     KEC [111013] Singkohor
2026-07-01 14:41:09 [INFO]       6 kelurahan di Singkohor
2026-07-01 14:41:09 [INFO]     KEC [111014] Kuala Baru
2026-07-01 14:41:09 [INFO]       4 kelurahan di Kuala Baru
